datetime_AEST,datetime_local,location_id,location_name,BPM2.5
2020-12-14 15:00:00,2020-12-14 16:00:00,10239,Melbourne CBD,8.033
2020-12-14 16:00:00,2020-12-14 17:00:00,10239,Melbourne CBD,5.083
2020-12-14 17:00:00,2020-12-14 18:00:00,10239,Melbourne CBD,2.983
2020-12-14 18:00:00,2020-12-14 19:00:00,10239,Melbourne CBD,-3.733
2020-12-14 19:00:00,2020-12-14 20:00:00,10239,Melbourne CBD,5.083
2020-12-14 20:00:00,2020-12-14 21:00:00,10239,Melbourne CBD,2.583
2020-12-14 21:00:00,2020-12-14 22:00:00,10239,Melbourne CBD,9.4
2020-12-14 22:00:00,2020-12-14 23:00:00,10239,Melbourne CBD,3.2
2020-12-14 23:00:00,2020-12-15 00:00:00,10239,Melbourne CBD,3.35
2020-12-15 00:00:00,2020-12-15 01:00:00,10239,Melbourne CBD,-5.033
2020-12-15 01:00:00,2020-12-15 02:00:00,10239,Melbourne CBD,-3
2020-12-15 02:00:00,2020-12-15 03:00:00,10239,Melbourne CBD,0.917
2020-12-15 03:00:00,2020-12-15 04:00:00,10239,Melbourne CBD,1.533
2020-12-15 04:00:00,2020-12-15 05:00:00,10239,Melbourne CBD,3.5
2020-12-15 05:00:00,2020-12-15 06:00:00,10239,Melbourne CBD,2.5
2020-12-15 06:00:00,2020-12-15 07:00:00,10239,Melbourne CBD,3.133
2020-12-15 07:00:00,2020-12-15 08:00:00,10239,Melbourne CBD,7.667
2020-12-15 08:00:00,2020-12-15 09:00:00,10239,Melbourne CBD,10.9
2020-12-15 09:00:00,2020-12-15 10:00:00,10239,Melbourne CBD,6.883
2020-12-15 10:00:00,2020-12-15 11:00:00,10239,Melbourne CBD,11.733
2020-12-15 11:00:00,2020-12-15 12:00:00,10239,Melbourne CBD,15.433
2020-12-15 12:00:00,2020-12-15 13:00:00,10239,Melbourne CBD,9.533
2020-12-15 13:00:00,2020-12-15 14:00:00,10239,Melbourne CBD,4.1
2020-12-15 14:00:00,2020-12-15 15:00:00,10239,Melbourne CBD,-1.017
2020-12-15 15:00:00,2020-12-15 16:00:00,10239,Melbourne CBD,6.667
2020-12-15 16:00:00,2020-12-15 17:00:00,10239,Melbourne CBD,3.817
2020-12-15 17:00:00,2020-12-15 18:00:00,10239,Melbourne CBD,12.017
2020-12-15 18:00:00,2020-12-15 19:00:00,10239,Melbourne CBD,6.917
2020-12-15 19:00:00,2020-12-15 20:00:00,10239,Melbourne CBD,8.3
2020-12-15 20:00:00,2020-12-15 21:00:00,10239,Melbourne CBD,8.65
2020-12-15 21:00:00,2020-12-15 22:00:00,10239,Melbourne CBD,5.55
2020-12-15 22:00:00,2020-12-15 23:00:00,10239,Melbourne CBD,7.333
2020-12-15 23:00:00,2020-12-16 00:00:00,10239,Melbourne CBD,5.083
